Location,M_X,M_Y,M_Z
data_location_1,-32.6024,66.7804,33.4588
data_location_10,56.5062,38.0756,95.6298
data_location_11,-28.2178,56.475,65.771
data_location_12,-4.081,57.6294,33.553
data_location_13,6.2322,38.0522,48.6038
data_location_14,-12.171,23.7192,46.2338
data_location_15,5.2268,25.213,42.7602
data_location_16,-33.3456,23.0324,39.3814
data_location_17,-19.0036,73.2286,33.7584
data_location_18,5.0018,64.3794,5.6434
data_location_19,-9.4022,48.5438,22.8894
data_location_2,-8.8434,29.303,91.9514
data_location_20,-22.9964,51.991,42.8524
data_location_21,-20.4724,82.2232,74.7212
data_location_22,30.0252,87.1764,93.358
data_location_23,33.3918,46.4892,57.3136
data_location_24,45.558,23.4628,49.8356
data_location_25,79.0972,22.4598,-40.8264
data_location_26,26.469,3.392,14.9126
data_location_27,51.2562,10.1656,101.1746
data_location_28,-10.6494,44.9208,106.6906
data_location_29,-22.584,93.0576,77.3948
data_location_3,-6.9568,49.2994,63.0134
data_location_30,-23.7516,88.336,22.3768
data_location_31,-15.2862,65.7408,66.3202
data_location_32,-41.9046,41.566,51.1026
data_location_33,-32.7714,36,2.9754
data_location_34,-10.2808,57.0252,57.4834
data_location_35,-31.3492,53.9424,89.5372
data_location_36,25.1458,48.27,82.9846
data_location_37,16.0144,30.6566,55.8914
data_location_38,35.9316,28.1368,13.0652
data_location_39,45.3662,34.5048,-16.0816
data_location_4,-3.7984,43.1622,61.8816
data_location_40,33.198,48.2874,-26.5972
data_location_41,6.9208,40.5894,-54.6888
data_location_42,52.54,35.5704,-18.3588
data_location_43,30.0792,29.8704,-36.548
data_location_44,49.3402,42.117,35.8306
data_location_45,18.4188,49.5352,105.0586
data_location_46,-47.9748,44.1314,81.8324
data_location_47,-11.694,53.2286,-4.9468
data_location_48,-17.1494,64.1716,-26.1248
data_location_49,-2.883,64.5054,-14.0402
data_location_5,5.4094,74.2978,-47.1852
data_location_50,-30.495,63.5794,40.3676
data_location_51,41.8128,49.0936,18.962
data_location_52,0.18,33.7588,26.6502
data_location_53,62.4514,34.2268,-34.6682
data_location_54,12.1728,56.964,-62.6396
data_location_55,11.6754,71.5416,-53.5686
data_location_56,20.1656,97.607,-39.7946
data_location_57,8.045,111.4188,9.1814
data_location_58,6.7588,112.561,20.2942
data_location_59,5.3656,124.883,34.7864
data_location_6,-3.6352,82.2214,61.8414
data_location_60,26.2034,108.4328,20.4634
data_location_61,-6.9388,105.8596,59.5228
data_location_62,-13.3048,87.1134,42.7588
data_location_63,-11.829,76.5722,41.3734
data_location_64,-23.599,75.0612,54.6166
data_location_65,-34.467,59.5014,55.1436
data_location_66,-13.4236,63.3714,49.937
data_location_67,-12.8164,80.7516,87.7298
data_location_68,-2.6478,75.2418,78.4532
data_location_69,13.892,88.5912,63.6926
data_location_7,-8.9406,85.8182,97.9872
data_location_70,11.3498,87.126,64.4294
data_location_71,10.937,99.054,42.8404
data_location_72,12.8326,113.378,82.1204
data_location_73,37.6144,118.376,166.185
data_location_74,-20.5032,138.3528,111.1994
data_location_75,-24.8056,99.3854,62.8652
data_location_76,-31.0936,85.8398,99.6464
data_location_77,13.946,86.8632,107.8556
data_location_78,22.3762,-0.5426,0.4152
data_location_79,-8.2736,18.5144,-3.0086
data_location_8,38.1818,55.7832,64.0874
data_location_80,31.3948,57.2922,23.4194
data_location_81,27.1566,50.135,7.0128
data_location_82,-11.3084,69.261,14.496
data_location_83,-6.2376,60.775,-7.6832
data_location_84,-10.3852,37.829,18.5878
data_location_85,-29.8182,81.081,111.3734
data_location_86,28.6262,41.0594,27.9406
data_location_87,-8.3156,41.5096,90.534
data_location_88,40.072,27.2646,98.7676
data_location_89,40.625,43.3378,22.9154
data_location_9,48.6406,34.8614,29.566
data_location_90,18.1872,45.955,29.4914
data_location_91,44.9874,47.3006,-2.8518
data_location_92,-23.6728,60.2736,112.506
data_location_93,-30.652,82.3642,42.056
data_location_94,7.5266,36.9874,28.7434
data_location_95,-52.4068,74.1422,153.6238
data_location_96,42.3758,69.4808,-13.4166
